time_iso8601,forks_cumulative
2022-12-25 00:00:00+00:00,6
2022-12-26 00:00:00+00:00,16
2022-12-27 00:00:00+00:00,23
2022-12-28 00:00:00+00:00,28
2022-12-29 00:00:00+00:00,36
2022-12-31 00:00:00+00:00,37
2023-01-01 00:00:00+00:00,38
2023-01-02 00:00:00+00:00,39
2023-01-03 00:00:00+00:00,44
2023-01-04 00:00:00+00:00,48
2023-01-05 00:00:00+00:00,51
2023-01-06 00:00:00+00:00,52
2023-01-07 00:00:00+00:00,54
2023-01-08 00:00:00+00:00,55
2023-01-11 00:00:00+00:00,59
2023-01-12 00:00:00+00:00,60
2023-01-13 00:00:00+00:00,62
2023-01-15 00:00:00+00:00,63
2023-01-17 00:00:00+00:00,69
2023-01-19 00:00:00+00:00,70
2023-01-20 00:00:00+00:00,71
2023-01-21 00:00:00+00:00,72
2023-01-23 00:00:00+00:00,73
2023-01-24 00:00:00+00:00,75
2023-01-25 00:00:00+00:00,76
2023-01-26 00:00:00+00:00,78
2023-01-27 00:00:00+00:00,80
2023-01-30 00:00:00+00:00,82
2023-01-31 00:00:00+00:00,187
2023-02-01 00:00:00+00:00,234
2023-02-02 00:00:00+00:00,272
2023-02-03 00:00:00+00:00,295
2023-02-04 00:00:00+00:00,298
2023-02-05 00:00:00+00:00,304
2023-02-06 00:00:00+00:00,315
2023-02-07 00:00:00+00:00,322
2023-02-08 00:00:00+00:00,327
2023-02-09 00:00:00+00:00,330
2023-02-10 00:00:00+00:00,334
2023-02-11 00:00:00+00:00,343
2023-02-12 00:00:00+00:00,346
2023-02-13 00:00:00+00:00,348
2023-02-14 00:00:00+00:00,351
2023-02-15 00:00:00+00:00,354
2023-02-16 00:00:00+00:00,367
2023-02-17 00:00:00+00:00,369
2023-02-18 00:00:00+00:00,371
2023-02-20 00:00:00+00:00,375
2023-02-21 00:00:00+00:00,377
2023-02-22 00:00:00+00:00,379
2023-02-23 00:00:00+00:00,381
2023-02-24 00:00:00+00:00,383
2023-02-25 00:00:00+00:00,386
2023-02-26 00:00:00+00:00,388
2023-02-27 00:00:00+00:00,392
2023-02-28 00:00:00+00:00,395
2023-03-01 00:00:00+00:00,398
2023-03-02 00:00:00+00:00,401
2023-03-03 00:00:00+00:00,405
2023-03-05 00:00:00+00:00,406
2023-03-06 00:00:00+00:00,408
2023-03-07 00:00:00+00:00,413
2023-03-08 00:00:00+00:00,414
2023-03-09 00:00:00+00:00,417
2023-03-10 00:00:00+00:00,419
2023-03-11 00:00:00+00:00,420
2023-03-12 00:00:00+00:00,425
2023-03-13 00:00:00+00:00,429
2023-03-14 00:00:00+00:00,433
2023-03-15 00:00:00+00:00,434
2023-03-16 00:00:00+00:00,436
2023-03-17 00:00:00+00:00,438
2023-03-18 00:00:00+00:00,439
2023-03-20 00:00:00+00:00,441
2023-03-21 00:00:00+00:00,442
2023-03-22 00:00:00+00:00,446
2023-03-23 00:00:00+00:00,447
2023-03-24 00:00:00+00:00,450
2023-03-25 00:00:00+00:00,451
2023-03-26 00:00:00+00:00,452
2023-03-27 00:00:00+00:00,455
2023-03-28 00:00:00+00:00,456
2023-03-29 00:00:00+00:00,458
2023-03-30 00:00:00+00:00,460
2023-03-31 00:00:00+00:00,461
2023-04-01 00:00:00+00:00,463
2023-04-02 00:00:00+00:00,465
2023-04-03 00:00:00+00:00,468
2023-04-04 00:00:00+00:00,470
2023-04-05 00:00:00+00:00,472
2023-04-07 00:00:00+00:00,473
2023-04-08 00:00:00+00:00,475
2023-04-10 00:00:00+00:00,478
2023-04-11 00:00:00+00:00,479
2023-04-12 00:00:00+00:00,483
2023-04-13 00:00:00+00:00,487
2023-04-14 00:00:00+00:00,488
2023-04-15 00:00:00+00:00,489
2023-04-16 00:00:00+00:00,490
2023-04-17 00:00:00+00:00,493
2023-04-19 00:00:00+00:00,496
2023-04-20 00:00:00+00:00,499
2023-04-25 00:00:00+00:00,500
2023-04-26 00:00:00+00:00,502
2023-05-02 00:00:00+00:00,504
2023-05-03 00:00:00+00:00,505
2023-05-06 00:00:00+00:00,507
2023-05-08 00:00:00+00:00,508
2023-05-09 00:00:00+00:00,509
2023-05-10 00:00:00+00:00,511
2023-05-11 00:00:00+00:00,514
2023-05-12 00:00:00+00:00,516
2023-05-15 00:00:00+00:00,517
2023-05-16 00:00:00+00:00,519
2023-05-17 00:00:00+00:00,521
2023-05-18 00:00:00+00:00,522
2023-05-19 00:00:00+00:00,523
2023-05-20 00:00:00+00:00,525
2023-05-22 00:00:00+00:00,528
2023-05-23 00:00:00+00:00,531
2023-05-24 00:00:00+00:00,534
2023-05-25 00:00:00+00:00,538
2023-05-26 00:00:00+00:00,541
2023-05-27 00:00:00+00:00,542
2023-05-28 00:00:00+00:00,543
2023-05-29 00:00:00+00:00,546
2023-05-30 00:00:00+00:00,549
2023-05-31 00:00:00+00:00,555
2023-06-01 00:00:00+00:00,561
2023-06-02 00:00:00+00:00,565
2023-06-03 00:00:00+00:00,566
2023-06-04 00:00:00+00:00,568
2023-06-05 00:00:00+00:00,575
2023-06-06 00:00:00+00:00,577
2023-06-07 00:00:00+00:00,581
2023-06-08 00:00:00+00:00,586
2023-06-12 00:00:00+00:00,588
2023-06-13 00:00:00+00:00,589
2023-06-14 00:00:00+00:00,591
2023-06-15 00:00:00+00:00,592
2023-06-16 00:00:00+00:00,593
2023-06-18 00:00:00+00:00,594
2023-06-20 00:00:00+00:00,595
2023-06-21 00:00:00+00:00,597
2023-06-23 00:00:00+00:00,599
2023-06-25 00:00:00+00:00,600
2023-06-26 00:00:00+00:00,602
2023-06-29 00:00:00+00:00,603
2023-06-30 00:00:00+00:00,606
2023-07-03 00:00:00+00:00,608
2023-07-04 00:00:00+00:00,611
2023-07-05 00:00:00+00:00,634
2023-07-06 00:00:00+00:00,668
2023-07-07 00:00:00+00:00,671
2023-07-10 00:00:00+00:00,673
2023-07-11 00:00:00+00:00,678
2023-07-12 00:00:00+00:00,679
2023-07-14 00:00:00+00:00,682
2023-07-15 00:00:00+00:00,684
2023-07-17 00:00:00+00:00,686
2023-07-18 00:00:00+00:00,688
2023-07-20 00:00:00+00:00,690
2023-07-21 00:00:00+00:00,691
2023-07-22 00:00:00+00:00,693
2023-07-23 00:00:00+00:00,694
2023-07-24 00:00:00+00:00,696
2023-07-25 00:00:00+00:00,697
2023-07-26 00:00:00+00:00,700
2023-07-27 00:00:00+00:00,703
2023-07-28 00:00:00+00:00,706
2023-07-31 00:00:00+00:00,709
2023-08-01 00:00:00+00:00,710
2023-08-02 00:00:00+00:00,711
2023-08-03 00:00:00+00:00,712
2023-08-04 00:00:00+00:00,713
2023-08-05 00:00:00+00:00,715
2023-08-06 00:00:00+00:00,717
2023-08-07 00:00:00+00:00,719
2023-08-10 00:00:00+00:00,720
2023-08-12 00:00:00+00:00,722
2023-08-14 00:00:00+00:00,723
2023-08-15 00:00:00+00:00,727
2023-08-16 00:00:00+00:00,730
2023-08-17 00:00:00+00:00,740
2023-08-18 00:00:00+00:00,746
2023-08-19 00:00:00+00:00,749
2023-08-20 00:00:00+00:00,750
2023-08-21 00:00:00+00:00,752
2023-08-22 00:00:00+00:00,753
