time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-14 00:00:00+00:00,0,0,25,8
2022-12-15 00:00:00+00:00,0,0,15,3
2022-12-16 00:00:00+00:00,0,0,6,5
2022-12-17 00:00:00+00:00,0,0,1,1
2022-12-19 00:00:00+00:00,0,0,22,8
2022-12-20 00:00:00+00:00,0,0,26,2
2022-12-21 00:00:00+00:00,0,0,93,5
2022-12-22 00:00:00+00:00,0,0,36,9
2022-12-23 00:00:00+00:00,4,2,111,19
2022-12-24 00:00:00+00:00,0,0,15,4
2022-12-25 00:00:00+00:00,320,59,15557,7241
2022-12-26 00:00:00+00:00,371,82,18083,4890
2022-12-27 00:00:00+00:00,387,70,3820,1210
2022-12-28 00:00:00+00:00,572,80,5293,1157
2022-12-29 00:00:00+00:00,1366,84,4470,910
2022-12-30 00:00:00+00:00,233,55,1731,445
2022-12-31 00:00:00+00:00,28,23,1045,574
2023-01-01 00:00:00+00:00,79,32,1923,767
2023-01-02 00:00:00+00:00,91,54,1887,590
2023-01-03 00:00:00+00:00,578,102,3056,629
2023-01-04 00:00:00+00:00,262,73,1799,438
2023-01-05 00:00:00+00:00,520,51,2005,331
2023-01-06 00:00:00+00:00,471,76,1782,299
2023-01-07 00:00:00+00:00,17,13,499,156
2023-01-08 00:00:00+00:00,10,9,540,159
2023-01-09 00:00:00+00:00,65,18,910,231
2023-01-10 00:00:00+00:00,186,48,1635,286
2023-01-11 00:00:00+00:00,372,54,1955,289
2023-01-12 00:00:00+00:00,79,29,1145,216
2023-01-21 00:00:00+00:00,45,12,248,65
2023-01-22 00:00:00+00:00,71,11,194,67
2023-01-23 00:00:00+00:00,36,16,246,87
2023-01-24 00:00:00+00:00,12052,18,539,121
2023-01-25 00:00:00+00:00,42,10,513,97
2023-01-26 00:00:00+00:00,2,2,411,120
2023-01-27 00:00:00+00:00,46,11,587,130
2023-01-28 00:00:00+00:00,403,25,1023,123
2023-01-29 00:00:00+00:00,432,29,1415,142
2023-01-30 00:00:00+00:00,323,46,1529,192
2023-01-31 00:00:00+00:00,1562,271,26010,4946
2023-02-01 00:00:00+00:00,1153,218,11518,3018
2023-02-02 00:00:00+00:00,1196,208,17095,6316
2023-02-03 00:00:00+00:00,694,160,9652,3089
2023-02-04 00:00:00+00:00,279,85,3249,919
2023-02-05 00:00:00+00:00,182,61,2084,663
2023-02-06 00:00:00+00:00,862,126,6074,1579
2023-02-07 00:00:00+00:00,734,113,3812,1034
